"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment"
"52","MIRANI","53528","0.266141085","0.608223733","0.125653863","200","1799","53528","2.062284355","327","354","2457","2185","9834","561","693","11087","0.617457232","0.061469673","0.071500778","4","629","0","12","15332","1164","310","111","216","896","18818","0","0","4","0","0","7","0","79","14","5","101","140","251","0","9","8","21","23876",34975
"53","MOGGILL","47419","0.287374259","0.556085114","0.156456273","440","2446","47419","2.044762344","4267","1432","9527","3940","3910","293","642","4849","0.570139392","0.03968254","0.059141085","226","1226","0","26","14249","980","114","385","112","314","17896","131","0","347","55","3","544","0","183","67","20","269","231","1044","68","25","12","104","23357",33074
"54","MORAYFIELD","55741","0.31118925","0.57742057","0.111641341","330","1560","55741","1.990049751","486","474","3025","3845","9981","683","891","11555","0.56341696","0.04870892","0.085790786","1003","132","6","17","16599","1452","384","61","147","292","20337","110","0","309","86","46","553","0","11","14","5","30","162","738","106","5","7","116","24924",33186
"55","MAIWAR","46006","0.203495196","0.701821502","0.09463983","420","2611","46006","1.531649314","4622","1527","12409","3050","3088","225","418","3733","0.596992807","0.039144107","0.064625727","1238","2655","13","113","11887","1157","43","1093","164","2008","20777","318","0","51","32","22","438","0","84","79","53","231","190","855","81","30","17","125","25879",32128
"56","TRAEGER","32588","0.288326992","0.619399779","0.092395974","180","2021","32588","1.745252525","390","266","2015","1299","4984","362","353","5696","0.695928598","0.061865754","0.063821983","3","174","0","82","8947","1070","151","197","248","1766","12843","0","0","0","0","0","3","0","6","0","3","9","104","117","0","0","16","23","15307",34467
"57","MOUNT OMMANEY","46446","0.264866727","0.592085433","0.143155492","400","2177","46446","1.858557921","2893","1172","8310","3814","4792","327","659","5785","0.595982322","0.041502611","0.059541985","1553","565","3","39","14370","994","99","296","134","315","18592","300","0","420","94","35","849","0","55","47","6","111","170","1130","107","10","8","128","23407",32543
"58","MUDGEERABA","56410","0.268126219","0.572150328","0.159723453","420","1743","56410","1.979643072","1512","806","5798","4921","8554","469","1018","10037","0.554756195","0.045702568","0.059952038","238","195","7","17","19141","1355","234","116","182","374","22063","22","0","100","11","13","150","20","16","29","0","60","167","379","45","13","10","71","27040",34285
"59","MULGRAVE","52611","0.309459999","0.564615765","0.125810192","270","1449","52611","1.782077639","445","418","2914","2904","8783","653","786","10216","0.569635928","0.053042186","0.09213242","6","333","3","40","15431","1505","245","158","224","584","18713","0","0","3","3","0","10","0","8","23","7","43","159","212","0","8","9","22","21993",34219
"60","MUNDINGBURRA","44724","0.273656202","0.582282443","0.143971917","300","1660","44724","1.75100296","1318","622","4697","2768","6416","503","508","7430","0.547839784","0.050225023","0.099189919","7","256","0","45","14025","1289","90","442","151","468","17041","4","0","0","0","0","8","0","16","28","13","58","143","206","0","9","11","15","20015",32323
"61","MURRUMBA","73389","0.303505975","0.565057434","0.131600104","360","1653","73389","1.830928879","1179","776","5762","5479","11608","812","1158","13579","0.587611623","0.049099929","0.082948264","732","345","0","49","21928","1855","368","95","203","455","26371","177","0","592","94","13","880","0","28","33","3","70","201","1150","122","11","4","143","32344",32802
"62","NANANGO","50313","0.251942838","0.532764892","0.215391648","230","1221","50313","1.915561052","450","435","2882","2968","8000","669","877","9539","0.56178147","0.057482369","0.070379673","10","138","0","14","12153","967","328","87","154","882","14876","0","0","31","3","0","38","0","8","4","4","20","82","138","3","0","6","13","19243",33077
"63","NICKLIN","51460","0.248289934","0.557811893","0.193878741","330","1415","51460","1.896744602","865","710","4351","4114","9066","548","898","10516","0.515632232","0.04998948","0.074731748","48","206","0","21","15196","1004","306","49","181","562","17736","7","0","37","0","3","50","0","11","18","3","30","150","234","4","16","13","38","21987",35282
"64","NOOSA","52125","0.230848921","0.534829736","0.234455635","400","1468","52125","1.806344522","1420","924","6018","4850","8083","442","1077","9608","0.497975538","0.044959933","0.065837199","45","333","5","24","14171","1020","175","189","254","640","17070","0","0","25","0","0","23","0","11","30","7","54","133","211","6","9","8","28","22156",31265
"65","NUDGEE","54688","0.226375073","0.641639848","0.131893651","365","1892","54688","1.587292191","2012","1025","7754","4491","7403","514","745","8661","0.617443669","0.048572279","0.065612282","2936","1022","0","59","15965","1379","191","268","174","733","23048","281","0","411","117","43","845","0","51","50","11","116","163","1118","98","13","9","118","28245",32139
