SED_CODE_2016,Electorate,Tot_P_M,Tot_P_F,Tot_P_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P
SED30043,Kawana,25627,27877,53503,521,459,982,25,20,51,16,11,26,558,499,1055,19201,20528,39732,5016,5847,10861,23040,24899,47937,1290,1619,2905,22140,24018,46154
SED30044,Keppel,27395,27187,54580,1229,1262,2488,92,86,178,88,93,181,1413,1438,2847,21906,22040,43945,3063,3131,6194,23705,23962,47669,1492,1443,2936,23726,23937,47667
SED30045,Lockyer,27682,27539,55221,952,841,1794,42,45,89,42,31,70,1040,913,1954,21877,21442,43313,3611,3838,7454,23861,23835,47696,1563,1741,3301,23723,23809,47533
SED30046,Logan,25050,25162,50214,656,664,1318,27,39,67,42,31,76,726,731,1452,17605,17378,34980,5919,6266,12178,20336,20248,40587,3316,3524,6839,20935,20912,41847
SED30047,Lytton,23958,25468,49425,519,565,1083,61,39,98,23,35,57,605,642,1240,17351,18425,35772,5309,5706,11008,20933,22072,43000,1828,2169,3997,19998,21457,41452
SED30048,Mackay,21742,21621,43364,767,824,1591,316,354,678,235,248,487,1323,1427,2747,16779,16936,33719,2898,3112,6015,18224,18392,36621,1562,1779,3338,18271,18555,36824
SED30049,Mansfield,22738,24177,46906,267,244,507,27,24,54,19,28,47,315,291,604,13908,14499,28406,7758,8621,16378,15139,15649,30787,6583,7508,14094,18157,19093,37255
SED30050,Maroochydore,25416,27280,52691,407,419,825,37,35,76,33,25,50,475,479,950,18436,19401,37834,4923,5693,10618,21950,23469,45420,1525,1790,3315,21069,22505,43576
SED30051,Maryborough,25767,25333,51102,1056,922,1983,51,50,103,64,61,123,1170,1029,2200,20951,20398,41350,2480,2760,5238,22657,22810,45467,471,665,1135,22352,22526,44877
SED30052,Mermaid Beach,25816,27833,53648,255,269,524,14,15,31,7,18,17,275,299,572,16043,17051,33098,7927,8764,16695,20176,21361,41537,3927,4618,8541,20213,21831,42040
SED30053,Mirani,28510,25023,53528,1106,952,2060,171,171,345,141,121,255,1416,1247,2668,22971,20671,43637,1909,1923,3834,23961,22087,46050,689,795,1487,23842,22027,45867
SED30054,Moggill,23240,24178,47419,139,127,268,7,15,20,9,3,14,160,140,302,15505,16043,31555,6893,7326,14218,19579,20064,39648,2807,3216,6018,20204,20966,41163
SED30055,Morayfield,27237,28508,55741,908,1016,1926,42,52,93,50,54,105,1003,1123,2125,21262,21965,43226,4443,4965,9403,24481,25414,49892,1376,1682,3059,23614,24667,48274
SED30056,Mount Coot-tha,22583,23423,46006,162,156,319,8,17,31,11,8,21,185,180,371,15377,15938,31315,5621,5997,11618,17870,18312,36175,3134,3655,6797,18035,18601,36631
SED30057,Mount Isa,16996,15598,32588,3498,3725,7225,84,83,166,118,110,231,3699,3920,7621,13003,11837,24844,1923,1913,3840,14017,12810,26826,1025,1107,2128,13910,12788,26698
SED30058,Mount Ommaney,22708,23739,46446,208,227,434,10,15,20,15,16,36,237,256,490,14866,15152,30019,6930,7598,14535,17232,17515,34742,4639,5297,9936,19397,20171,39570
SED30059,Mudgeeraba,27223,29189,56410,361,384,743,24,15,31,12,27,31,395,422,815,17989,19025,37016,7413,8235,15643,22829,24045,46877,2688,3235,5922,22196,23545,45745
SED30060,Mulgrave,26101,26515,52611,2947,3306,6250,677,704,1378,676,731,1408,4301,4738,9042,20505,20488,40991,3329,3814,7143,21534,21565,43099,2462,2925,5384,22769,22902,45669
SED30061,Mundingburra,21827,22892,44724,944,1093,2036,244,277,517,183,205,389,1371,1576,2945,16748,17474,34224,3733,4051,7788,18118,18918,37032,2438,2756,5189,18748,19643,38388
SED30062,Murrumba,35507,37886,73389,1018,1095,2110,65,81,143,58,54,116,1146,1228,2372,24240,25802,50051,9036,9709,18744,29760,31508,61268,3635,4173,7814,28484,30504,58995
SED30063,Nanango,25358,24958,50313,871,904,1781,29,23,57,34,42,78,938,974,1906,20712,20322,41033,2496,2641,5139,22735,22503,45241,704,808,1514,22457,22339,44796
