"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Part_time_Employ","Employ_away_from_work","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment","Margin","isALP","ALP_Safety_Ranking","TotalEstimatedCost"
"67","SPRINGWOOD",49374,0.266273747316401,0.602989427633977,0.130858346498157,370,1920,49374,2.0022510190424,1439,787,5719,4129,7865,433,773,9071,0.60555802908875,0.289329177797566,0.0430765805877115,58,1514,0,36,17125,1184,245,79,131,263,20865,48,0,27,13,0,91,0,265,93,17,380,171,650,31,26,8,64,25280,34555,0.0718558893911194,1,1,24003500
"68","STAFFORD",47287,0.231374373506461,0.635481210480682,0.133102121090363,360,2174,47287,1.58721614802355,2522,1262,9043,3548,5235,359,582,6176,0.616710575837411,0.283364697026722,0.0450508091832894,1110,2280,3,65,14136,1125,119,436,133,730,20486,196,0,283,46,23,543,0,96,63,39,198,175,918,53,19,7,79,25113,30582,0.242053177163258,1,0,5734000
"69","STRETTON",59141,0.265839265484182,0.631845927529125,0.102314806986693,400,1658,59141,1.91959397810219,4360,832,10197,4444,4892,361,692,5950,0.559340253283617,0.312103194598408,0.0425610534448587,448,2457,5,60,17311,1642,152,93,136,264,22712,129,0,106,24,7,268,0,259,140,20,427,202,890,63,34,3,97,27204,34656,0.197725473259915,1,0,695095000
"70","THURINGOWA",52997,0.31197992339189,0.582731097986678,0.105100288695587,300,1631,52997,1.90233520543896,568,485,3466,3146,9261,583,666,10511,0.579172719626883,0.274562275403318,0.0502331982567475,9,271,3,24,17419,1457,209,188,194,318,20365,0,0,0,3,0,4,0,13,17,12,49,152,201,0,8,9,19,23650,35920,0.0829990743597655,1,1,19525000
"71","TOOHEY",54785,0.217358766085607,0.637108697636214,0.145605548964133,370,1420,54785,1.72377063731582,3668,755,8661,3920,5110,439,659,6209,0.513280468088382,0.334167372392024,0.0434598506428516,695,2193,5,71,13596,1534,143,142,137,644,19329,195,0,105,19,6,329,0,138,97,18,257,167,746,71,23,5,94,23146,32204,0.200275992301267,1,0,6110000
"72","TOOWOOMBA NORTH",50427,0.262656909988697,0.561683225256311,0.175759017986396,275,1538,50427,1.69301241394265,1262,826,5040,3342,7405,608,726,8744,0.580002511195748,0.302599087598878,0.0443644582095174,9,103,0,73,15567,1392,185,209,109,867,18705,0,0,5,0,0,7,0,5,11,10,24,161,193,0,3,9,10,22145,33001,0.11441794690493,0,5,4270000
"73","TOWNSVILLE",49815,0.2343671584864,0.634226638562682,0.131225534477567,265,1691,49815,1.53597988336633,1520,774,5793,3325,7480,509,609,8600,0.59259983572574,0.268158172644424,0.0485782453944538,3,343,3,54,15557,1412,149,489,188,1210,19765,3,0,5,0,3,8,0,8,17,10,46,277,328,0,26,47,77,23254,31114,0.00759835250674623,1,2,248900000
"74","TRAEGER",32588,0.288326991530625,0.619399779059777,0.0923959739781515,180,2021,32588,1.74525252525253,390,266,2015,1299,4984,362,353,5696,0.695928597628072,0.177955740310551,0.0618657537596283,3,174,0,82,8947,1070,151,197,248,1766,12843,0,0,0,0,0,3,0,6,0,3,9,104,117,0,0,16,23,15307,34467,0.569756713446317,0,5,11027000
"75","WARREGO",41111,0.269660188270779,0.570261000705407,0.160176108584077,180,1480,41111,1.96782940055694,290,287,2531,2229,5548,494,551,6593,0.6431810076927,0.248560802893678,0.0575678842528911,5,94,0,16,10655,1009,316,154,269,1422,14083,3,0,3,0,0,6,0,7,0,4,11,125,144,0,3,20,28,18642,34151,0.189126708916258,0,5,100207000
"76","WATERFORD",64271,0.286505577943396,0.579437071151841,0.134026232671034,330,1419,64271,1.7555351000436,709,487,3689,3889,10180,824,1062,12072,0.585965272080941,0.26780831282472,0.0489814055236533,636,488,3,29,18447,1657,319,72,127,341,22386,86,0,117,45,28,277,0,108,47,10,163,187,623,79,7,6,91,26408,32905,0.214975384497958,1,0,21100000
"77","WHITSUNDAY",59648,0.271241282188841,0.612225053648069,0.116550429184549,300,1817,59648,1.89571458729153,685,586,4334,3769,11144,646,926,12710,0.608214181024656,0.268638243819822,0.0539686675569163,14,678,3,52,18565,1461,229,161,415,1569,23444,0,0,7,0,0,7,0,45,22,9,84,262,357,3,17,18,43,28572,35508,0.0136333650956535,0,3,7338000
