SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30055,20596,22054,42650,9920,5441,15361,2460,5774,8232,646,686,1328,1213,1134,2339,14234,13031,27264,5282,7898,13171,8.5,8.7,8.6,69.1,59.1,63.9,63.2,54,58.4,238,249,486,150,322,474,1030,1992,3025,1449,2400,3845,6430,3547,9981,267,414,683,329,566,891,7026,4536,11555,20749,21436,42190,4233,4673,8910,13048,13228,26275,10650,11724,22376
SED30056,19233,20213,39446,9561,6955,16517,3018,5258,8281,431,659,1083,960,824,1788,13970,13694,27667,3831,5213,9044,6.9,6,6.5,72.6,67.7,70.1,67.6,63.7,65.6,2358,2263,4622,561,968,1527,5766,6642,12409,1419,1631,3050,2020,1067,3088,101,125,225,190,234,418,2312,1427,3733,14521,15040,29565,5776,6207,11980,7907,8309,16214,11906,12566,24465
SED30057,13144,11925,25072,7055,4325,11384,858,2056,2911,568,450,1012,587,461,1044,9064,7289,16358,2474,3263,5733,6.5,6.3,6.4,69,61.1,65.2,64.5,57.3,61.1,169,216,390,68,200,266,693,1322,2015,511,787,1299,3666,1315,4984,151,209,362,148,201,353,3966,1730,5696,11831,10771,22602,2685,2720,5405,7583,6798,14381,5967,5745,11720
SED30058,17877,19220,37098,9194,5635,14834,2354,5192,7544,427,610,1033,838,648,1482,12811,12080,24890,4235,6039,10275,6.5,5.4,6,71.7,62.9,67.1,67,59.5,63.1,1580,1310,2893,438,736,1172,3774,4545,8310,1702,2114,3814,3270,1519,4792,127,199,327,270,396,659,3666,2111,5785,18009,18842,36849,3081,3247,6334,11877,12760,24639,8309,8483,16792
SED30059,21485,23541,45023,9988,5976,15962,3116,6639,9763,581,738,1315,900,832,1725,14584,14185,28773,5376,7672,13040,6.2,5.9,6,67.9,60.3,63.9,63.7,56.7,60.1,714,800,1512,253,546,806,2341,3461,5798,1948,2971,4921,5779,2774,8554,135,330,469,386,628,1018,6304,3729,10037,20156,21414,41575,4455,4903,9356,12210,12707,24915,11507,12705,24207
SED30060,19605,20368,39976,8509,5290,13800,2202,4702,6910,635,653,1285,1222,1012,2232,12568,11650,24226,5379,7113,12491,9.7,8.7,9.2,64.1,57.2,60.6,57.9,52.3,55,187,265,445,114,301,418,972,1939,2914,1058,1842,2904,5915,2865,8783,230,426,653,284,499,786,6434,3785,10216,19604,19854,39458,3670,3906,7572,12910,12731,25645,9007,9683,18691
SED30061,17476,18800,36278,7312,4861,12173,2294,4431,6724,506,607,1116,1243,961,2204,11359,10860,22220,5034,6900,11933,10.9,8.8,9.9,65,57.8,61.2,57.9,52.7,55.2,672,644,1318,209,415,622,1830,2863,4697,1188,1583,2768,4384,2034,6416,193,312,503,207,302,508,4777,2648,7430,15892,16618,32506,3957,4377,8333,9928,10314,20243,9217,9989,19208
SED30062,26515,29396,55917,13075,7654,20728,2949,6935,9888,798,933,1732,1419,1505,2926,18247,17028,35275,6577,10552,17132,7.8,8.8,8.3,68.8,57.9,63.1,63.4,52.8,57.9,604,579,1179,289,484,776,2189,3566,5762,2127,3355,5479,7355,4259,11608,312,498,812,437,724,1158,8103,5478,13579,25232,26833,52066,6982,7692,14674,13521,14131,27655,16753,18561,35313
SED30063,20313,20136,40448,7613,4019,11630,2026,4402,6426,632,559,1190,791,673,1457,11052,9648,20702,7695,9099,16801,7.2,7,7,54.4,47.9,51.2,50.6,44.6,47.6,199,253,450,119,314,435,986,1895,2882,1123,1847,2968,5393,2607,8000,242,428,669,334,542,877,5967,3577,9539,19343,19169,38504,3536,3638,7170,13147,12643,25786,8503,8969,17473
SED30064,19935,21666,41599,7905,4351,12254,2731,5814,8541,571,619,1188,946,827,1776,12159,11604,23765,6397,8718,15117,7.8,7.1,7.5,61,53.6,57.1,56.2,49.8,52.8,376,493,865,211,499,710,1537,2814,4351,1524,2590,4114,6123,2948,9066,217,332,548,358,542,898,6697,3818,10516,18465,19764,38230,4113,4421,8540,11734,12172,23900,10012,11022,21035
