"","SED_NAME_2016","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P"
"40","Ipswich",52119,0.28008979450872,0.580172298010323,0.139929776089334,280,1502,52119,1.72269519435421,663,534,3441,3404,8736,653,779,10168,0.582122033341546,0.0494374640716104,0.0891024061755769,734,136,0,30,15202,1239,210,96,101,460,18435,102,0,268,65,15,443,0,14,9,0,28,156,630,59,3,14,72,22182
"41","Ipswich West",55108,0.290284532191333,0.572856935472164,0.136949263264862,289,1484,55108,1.9438089392333,638,530,3172,3489,9247,689,900,10836,0.583353255239461,0.0494063271973862,0.0825962228065981,343,120,0,16,16204,1099,356,70,123,375,18919,63,0,303,47,11,412,0,17,11,3,30,150,599,64,4,4,68,23025
"42","Kallangur",53146,0.287585142814135,0.589602227825236,0.122944342001279,345,1651,53146,1.87859263824304,706,599,3768,3988,9325,593,876,10797,0.597282568672214,0.0458060240076589,0.0771779954341262,1237,212,3,22,16687,1198,301,70,139,259,20409,213,0,390,101,39,745,0,37,7,3,46,164,951,97,10,5,110,25061
"43","Kawana",53503,0.263050670055885,0.531689811786255,0.205147374913556,415,1521,53503,1.76890263410472,987,676,4952,4094,9068,556,998,10621,0.527064732142857,0.0467952806122449,0.0735809948979592,57,306,5,17,16254,1050,204,252,197,403,18886,14,0,67,7,7,90,0,9,28,5,34,155,284,15,14,12,43,23246
"44","Keppel",54580,0.26987907658483,0.573671674606083,0.156430927079516,300,1657,54580,1.87181580666231,887,711,4247,3043,9119,618,737,10472,0.577151335311573,0.0526516016130259,0.0799284790382713,12,443,0,32,16991,1486,235,106,129,540,20158,0,0,3,0,0,3,0,33,24,5,60,119,186,0,12,8,17,24191
"45","Lockyer",55221,0.279241592872277,0.579344814472755,0.141522246971261,285,1542,55221,2.17509795894497,652,456,3241,3296,8863,640,850,10357,0.579953917050691,0.0550691244239631,0.0725806451612903,102,122,3,8,16527,1448,553,27,139,488,19603,10,0,142,25,3,182,0,37,11,0,49,133,359,21,13,3,44,24150
"46","Logan",50214,0.294798263432509,0.592663400645238,0.112617994981479,365,1652,50214,2.20868459788572,514,361,2775,3055,8765,537,821,10133,0.599264124070264,0.0495331539800601,0.0765943978477607,88,485,0,18,16461,1213,609,41,137,239,19468,34,0,116,15,3,165,0,163,66,12,243,139,550,28,12,6,48,23340
"47","Lytton",49425,0.25697521497218,0.582741527567021,0.160424886191199,390,1950,49425,1.7528745495109,1439,846,5677,3958,7134,411,835,8378,0.601311270683734,0.0470262254136747,0.0643927567905089,1707,271,3,33,15098,1185,189,212,164,429,19543,157,0,226,78,39,491,0,33,21,3,57,191,737,85,12,18,111,23983
"48","Mackay",43364,0.243496909879162,0.605594502352181,0.150654921132737,250,1596,43364,1.63364011424944,486,412,3108,2229,7989,439,546,8967,0.58207643194226,0.0492736189506801,0.104099194966226,3,369,0,61,13547,1282,134,286,98,581,16533,3,0,3,0,0,6,0,22,13,8,45,133,187,0,10,7,16,19367
"49","Mansfield",46906,0.257088645375858,0.596938557966998,0.145994115891357,400,1957,46906,1.81177235772358,2688,963,7905,3621,4737,361,643,5740,0.571023792658027,0.041751739655819,0.0726696945706071,57,2405,3,33,13548,1153,137,136,103,447,18251,72,0,34,0,0,106,0,252,123,33,413,138,656,32,20,10,61,22259
